timestamp,power,heat
1615923900,208,0
1615924800,415,2944
1615925700,213,2928
1615926600,212,0
1615927500,343,0
1615928400,1337,2992
1615929300,1288,6320
1615930200,1441,6320
1615931100,1296,6320
1615932000,1382,5472
1615932900,1423,0
1615933800,202,0
1615934700,910,0
1615935600,1301,0
1615936500,1340,0
1615937400,2483,0
1615938300,2529,0
1615939200,2673,0
1615940100,2482,0
1615941000,2494,0
1615941900,2654,0
1615942800,2514,0
1615943700,2644,0
1615944600,3045,0
1615945500,2846,0
1615946400,2518,0
1615947300,2657,0
1615948200,2466,0
1615949100,2619,0
1615950000,2530,0
1615950900,2406,0
1615951800,1365,0
1615952700,1003,0
1615953600,277,0
1615954500,333,0
1615955400,347,0
1615956300,1003,0
1615957200,413,0
1615958100,216,6320
1615959000,415,6320
1615959900,214,6320
1615960800,416,6112
1615961700,413,5072
1615962600,215,4864
1615963500,415,4848
1615964400,290,4832
1615965300,335,4832
1615966200,324,4832
1615967100,303,4816
1615968000,354,4816
1615968900,276,4816
1615969800,357,4800
1615970700,264,4800
1615971600,357,1712
1615972500,266,0
1615973400,322,0
1615974300,298,0
1615975200,303,0
1615976100,323,0
1615977000,284,0
1615977900,339,0
1615978800,237,0
1615979700,387,0
1615980600,191,0
1615981500,426,0
1615982400,189,0
1615983300,423,0
1615984200,187,0
1615985100,421,0
1615986000,195,0
1615986900,365,0
1615987800,248,0
1615988700,331,0
1615989600,289,0
1615990500,291,0
1615991400,330,0
1615992300,256,0
1615993200,362,0
1615994100,219,0
1615995000,396,0
1615995900,188,0
1615996800,422,0
1615997700,189,0
1615998600,418,2976
1615999500,188,2944
1616000400,414,2944
1616001300,186,2928
1616002200,412,2928
1616003100,209,2896
1616004000,402,2896
1616004900,232,2880
1616005800,403,2880
1616006700,318,2864
1616007600,326,0
1616008500,273,0
1616009400,342,0
1616010300,245,0
1616011200,370,2992
1616012100,247,2976
1616013000,378,2976
1616013900,226,2944
1616014800,1465,2944
1616015700,1307,6320
1616016600,1450,6320
1616017500,1319,6112
1616018400,767,5072
1616019300,232,0
1616020200,378,0
1616021100,234,0
1616022000,379,0
1616022900,210,0
1616023800,1371,0
1616024700,1255,0
1616025600,1471,0
1616026500,1246,0
1616027400,1473,0
1616028300,1283,0
1616029200,2278,0
1616030100,1413,0
1616031000,1339,0
1616031900,1274,0
1616032800,1380,0
1616033700,1293,0
1616034600,1351,0
1616035500,1306,0
1616036400,1340,0
1616037300,1393,0
1616038200,632,0
1616039100,403,0
1616040000,186,0
1616040900,405,0
1616041800,768,0
1616042700,486,0
1616043600,263,0
1616044500,358,6320
1616045400,290,6320
1616046300,330,6320
1616047200,336,6208
1616048100,275,5168
1616049000,382,4928
1616049900,258,4896
1616050800,421,4896
1616051700,230,4880
1616052600,419,4880
1616053500,322,4880
1616054400,326,4864
1616055300,349,4864
1616056200,302,4864
1616057100,278,4848
1616058000,361,2032
1616058900,267,0
1616059800,373,0
1616060700,238,0
1616061600,391,0
1616062500,244,0
1616063400,388,0
1616064300,242,0
1616065200,392,0
1616066100,254,0
